activity_year,state_code,county_code,action_taken,aus_1,loan_purpose,applicant_sex,occupancy_type,construction_method,census_tract,debt_to_income_ratio,loan_to_value_ratio,income,loan_amount,total_units,applicant_age,intro_rate_period
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001201,0.44,1417,35000,75000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019001201,0.39,475,30000,75000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,information not provided by applicant,Principal residence,Site-built,17019001400,0.48,1751,124000,265000,1,30,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005600,0.7000000000000001,1693,37000,135000,1,40,NA
2018,IL,Coles,Application denied,Not applicable,Home purchase,Female,Principal residence,Site-built,17029000900,0.325,39,38000,95000,1,30,NA
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Male,Principal residence,Site-built,17019010400,0.42,1556,50000,35000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019010603,0.1,1264,195000,215000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010603,0.1,886,195000,285000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005600,0.43,1193,71000,105000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019000902,0.325,1264,41000,145000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010603,0.325,1264,205000,355000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005600,0.37,1264,62000,85000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001203,0.41000000000000003,1580,62000,155000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001204,0.43,1751,85000,245000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005800,0.41000000000000003,1264,91000,155000,1,50,NA
2018,IL,Cumberland,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Second residence,Site-built,17035972600,0.41000000000000003,1264,101000,165000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001204,0.43,1264,49000,185000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019001000,0.42,359,19000,55000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000902,0.25,1264,95000,195000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019010800,0.25,445,32000,85000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019001301,0.45,1051,42000,125000,1,70,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Refinancing,information not provided by applicant,Principal residence,Site-built,17019010500,0.7000000000000001,1803,63000,295000,1,50,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Home purchase,information not provided by applicant,Principal residence,Site-built,17019010700,0.37,1636,37000,135000,1,30,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Home purchase,information not provided by applicant,Principal residence,Site-built,17019001100,0.38,657,70000,235000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,information not provided by applicant,Principal residence,Site-built,17019001302,0.1,1580,220000,215000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019001206,0.49,1134,72000,115000,1,40,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,information not provided by applicant,Principal residence,Site-built,17019000901,0.42,1399,11000,55000,1,70,NA
2018,IL,Coles,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Refinancing,information not provided by applicant,Principal residence,Site-built,17029000500,0.325,1522,26000,45000,1,50,NA
2018,IL,Coles,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Other purpose,information not provided by applicant,Principal residence,Site-built,17029000500,0.44,1399,30000,35000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019001204,0.42,1399,67000,215000,1,30,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Home purchase,Male,Principal residence,Site-built,17019010603,0.42,4,105000,215000,1,40,NA
2018,IL,Missing,Loan originated,Other,Home purchase,Female,Principal residence,Site-built,17019001204,0.42,1264,122000,495000,1,30,NA
2018,IL,Missing,Loan originated,Other,Refinancing,Female,Principal residence,Site-built,17019001201,0.325,1385,0,105000,1,40,NA
2018,IL,Coles,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17029000900,0.4,1751,82000,175000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005701,0.1,1264,74000,125000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019000902,0.37,1264,81000,215000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005402,0.1,1264,477000,285000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010603,0.48,1580,102000,225000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019005401,0.44,1580,42000,95000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019010900,0.325,1264,111000,285000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019001000,0.49,1264,63000,275000,1,40,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Cash-out refinancing,Male,Principal residence,Site-built,17019010900,0.25,1424,110000,155000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019005402,0.25,959,59000,135000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000500,0.39,1264,53000,185000,1,30,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Home purchase,Female,Principal residence,Site-built,17019010700,0.36,4,78000,165000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010601,0.4,1580,100000,275000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019005800,0.48,577,33000,145000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001301,0.325,1264,74000,115000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010603,0.25,1580,128000,265000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019005701,0.325,1751,60000,155000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000902,0.36,1580,98000,215000,1,30,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Cash-out refinancing,Male,Second residence,Site-built,17019010500,0.44,772,54000,105000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000800,0.325,1051,64000,125000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Second residence,Site-built,17019005600,0.45,1264,121000,85000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000800,0.25,1264,99000,175000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001301,0.1,1264,67000,75000,1,50,NA
2018,IL,Missing,Loan originated,Not applicable,Cash-out refinancing,information not provided by applicant,Second residence,Site-built,17019001301,0.1,958,250000,125000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,information not provided by applicant,Principal residence,Site-built,17019001206,0.25,959,135000,375000,1,30,NA
2018,IL,Missing,Loan originated,Other,Home purchase,Male,Principal residence,Site-built,17019010700,0.1,1399,317000,475000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019000902,0.1,665,90000,105000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019010601,0.43,1580,157000,395000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019000902,0.36,1580,65000,135000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019010601,0.25,1264,62000,135000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Female,Principal residence,Site-built,17019005500,0.325,1264,69000,105000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019000800,0.25,1580,87000,215000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019010700,0.48,1264,22000,75000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019011000,0.43,1338,75000,185000,1,40,NA
2018,IL,Cumberland,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17035972500,0.4,591,34000,55000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010100,0.49,1693,25000,95000,1,40,NA
2018,IL,Missing,Application denied,Other,Cash-out refinancing,Female,Investment property,Site-built,17019000902,0.55,1003,32000,75000,1,60,NA
2018,IL,Coles,Application denied,Not applicable,Home improvement,Female,Principal residence,Site-built,17029000300,0.55,182,48000,15000,1,60,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Male,Principal residence,Site-built,17019010204,0.7000000000000001,1209,36000,15000,1,30,1
2018,IL,Missing,Application denied,Not applicable,Other purpose,Male,Principal residence,Site-built,17019000901,0.4,511,36000,45000,1,60,1
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Male,Principal residence,Site-built,17019001301,0.39,575,100000,205000,1,50,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Female,Principal residence,Site-built,17019001400,0.25,683,110000,15000,1,30,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Female,Principal residence,Site-built,17019010900,0.25,1264,116000,105000,1,50,1
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019001201,0.25,601,110000,55000,1,50,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Male,Principal residence,Site-built,17019005600,0.25,1399,50000,65000,1,30,1
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Male,Principal residence,Site-built,17019000902,0.41000000000000003,568,147000,85000,1,70,1
2018,IL,Coles,Application denied,Not applicable,Other purpose,Female,Principal residence,Site-built,17029001000,0.25,1534,102000,75000,1,50,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Applicant selected both male and female,Principal residence,Site-built,17019000901,0.7000000000000001,969,19000,55000,1,60,1
2018,IL,Missing,Loan originated,Not applicable,Cash-out refinancing,Male,Principal residence,Site-built,17019011000,0.38,161,13000,25000,1,70,1
2018,IL,Missing,Application denied,Not applicable,Cash-out refinancing,Male,Principal residence,Site-built,17019005500,0.25,115,73000,55000,1,70,1
2018,IL,Missing,Application denied,Not applicable,Cash-out refinancing,Female,Principal residence,Site-built,17019001205,0.7000000000000001,253,32000,95000,1,60,1
2018,IL,Missing,Application denied,Not applicable,Home improvement,Female,Principal residence,Site-built,17019010400,0.1,1051,26000,15000,1,50,1
2018,IL,Missing,Application denied,Not applicable,Other purpose,Male,Principal residence,Site-built,17019005800,0.55,164,75000,55000,1,70,1
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Female,Principal residence,Site-built,17019001205,0.37,1437,95000,25000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019010500,0.4,1384,84000,55000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019010100,0.55,1080,31000,15000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019010601,0.47000000000000003,1560,82000,115000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019001205,0.44,585,48000,135000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019000700,0.1,212,86000,25000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019000200,0.325,263,27000,15000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Female,Principal residence,Site-built,17019001203,0.44,309,13000,35000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019001301,0.25,1041,99000,25000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019010400,0.41000000000000003,454,40000,55000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019001203,0.36,305,50000,15000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019001000,0.46,762,51000,105000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019001000,0.46,1344,51000,25000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Female,Principal residence,Site-built,17019005500,0.325,1012,64000,45000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019001301,0.325,1212,48000,105000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Male,Principal residence,Site-built,17019010700,0.1,1560,185000,115000,1,50,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Female,Principal residence,Site-built,17019010400,0.25,404,132000,55000,1,60,NA
2018,IL,Missing,Application approved but not accepted,Not applicable,Home improvement,information not provided by applicant,Principal residence,Site-built,17019010603,0.325,1560,136000,125000,1,40,NA
2018,IL,Missing,Application denied,Not applicable,Home improvement,Male,Principal residence,Site-built,17019010800,0.325,1541,165000,55000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Home purchase,Male,Principal residence,Site-built,17019000500,0.42,176,51000,55000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Other purpose,Male,Principal residence,Site-built,17019001201,0.55,1408,24000,15000,1,40,NA
2018,IL,Missing,Application denied,Not applicable,Home improvement,Male,Principal residence,Site-built,17019000800,0.7000000000000001,1617,38000,15000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019005500,0.325,626,24000,15000,1,70,NA
2018,IL,Missing,Application approved but not accepted,Not applicable,Home purchase,Male,Principal residence,Site-built,17019001301,0.41000000000000003,1437,135000,55000,1,50,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Female,Principal residence,Site-built,17019005702,0.49,1541,67000,45000,1,50,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019011000,0.1,581,115000,55000,1,60,NA
2018,IL,Missing,Application denied,Not applicable,Home purchase,Male,Principal residence,Site-built,17019010603,0.55,740,88000,205000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home purchase,Male,Principal residence,Site-built,17019010603,0.36,1417,160000,205000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Female,Principal residence,Site-built,17019010700,0.38,1460,38000,65000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019010603,0.41000000000000003,1560,74000,45000,1,50,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019010601,0.325,709,57000,15000,1,50,NA
2018,IL,Missing,Application denied,Not applicable,Home improvement,Female,Principal residence,Site-built,17019005500,0.325,88,137000,25000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019001201,0.25,1074,80000,45000,1,70,NA
2018,IL,Missing,Application approved but not accepted,Not applicable,Other purpose,Male,Principal residence,Site-built,17019001100,0.45,608,31000,75000,1,70,NA
2018,IL,Missing,Loan originated,Not applicable,Refinancing,Male,Principal residence,Site-built,17019010900,0.4,1480,48000,55000,1,40,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Male,Principal residence,Site-built,17019000800,0.38,1547,72000,25000,1,50,NA
2018,IL,Missing,Application denied,Not applicable,Refinancing,Male,Principal residence,Site-built,17019010603,0.325,72,120000,75000,1,60,NA
2018,IL,Missing,Loan originated,Not applicable,Home improvement,Female,Principal residence,Site-built,17019010603,0.25,336,162000,35000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Second residence,Site-built,17019001201,0.41000000000000003,1580,125000,85000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019010700,0.325,704,79000,185000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Female,Principal residence,Site-built,17019001201,0.325,1449,41000,105000,1,50,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Refinancing,Male,Investment property,Site-built,17019000800,0.43,1021,92000,95000,1,40,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019000800,0.55,393,89000,55000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019001302,0.37,482,40000,105000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001205,0.43,1051,118000,305000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019001400,0.1,1264,282000,135000,1,30,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Home purchase,Male,Principal residence,Site-built,17019001000,0.44,1733,43000,95000,1,40,NA
2018,IL,Coles,Loan originated,Desktop Underwriter (DU),Home purchase,information not provided by applicant,Principal residence,Site-built,17029000900,0.48,1693,87000,215000,1,60,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Home purchase,Female,Principal residence,Site-built,17019000700,0.48,1733,52000,65000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,information not provided by applicant,Principal residence,Site-built,17019001205,0.325,1580,226000,305000,1,40,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Refinancing,Male,Investment property,Site-built,17019000800,0.47000000000000003,1021,92000,95000,1,40,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Investment property,Site-built,17019010601,0.37,1015,98000,155000,1,60,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Other purpose,Male,Investment property,Site-built,17019000901,0.44,527,78000,55000,1,40,NA
2018,IL,Coles,Application approved but not accepted,Not applicable,Other purpose,Male,Principal residence,Site-built,17029001200,0.325,1308,31000,45000,1,60,NA
2018,IL,Coles,Loan originated,Not applicable,Home purchase,Female,Principal residence,Site-built,17029000500,0.25,1521,65000,65000,1,40,NA
2018,IL,Missing,Loan originated,Loan Propspector (LP) or Loan Product Advisor,Refinancing,Male,Investment property,Site-built,17019011000,0.7000000000000001,349,8000,95000,4,60,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Refinancing,Male,Principal residence,Site-built,17019000800,0.42,4,67000,75000,1,70,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019001201,0.55,1399,22000,85000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019010900,0.36,566,59000,105000,1,60,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Home purchase,Female,Principal residence,Site-built,17019010603,0.55,869,30000,105000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Manufactured home,17019005402,0.325,722,65000,75000,1,60,NA
2018,IL,Missing,Application denied,Loan Propspector (LP) or Loan Product Advisor,Cash-out refinancing,Male,Principal residence,Site-built,17019010601,0.7000000000000001,271,14000,65000,1,40,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019010400,0.55,825,40000,85000,1,60,63
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019000800,0.1,130,69000,85000,1,60,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,information not provided by applicant,Principal residence,Site-built,17019005702,0.55,1399,28000,85000,1,30,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Female,Principal residence,Site-built,17019010700,0.55,1399,30000,75000,1,70,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019001206,0.1,983,772000,295000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Male,Principal residence,Site-built,17019010700,0.4,1264,86000,155000,1,60,NA
2018,IL,Missing,Application denied,Not applicable,Home purchase,Female,Principal residence,Site-built,17019005800,0.1,310,157000,105000,1,30,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019005402,0.45,1774,64000,145000,1,50,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019001203,0.45,1051,43000,115000,1,30,NA
2018,IL,Coles,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Female,Principal residence,Site-built,17029001200,0.7000000000000001,1399,36000,105000,1,40,NA
2018,IL,Missing,Application denied,Not applicable,Cash-out refinancing,Male,Principal residence,Site-built,17019010601,0.325,603,36000,145000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Second residence,Site-built,17019000500,0.25,1580,131000,125000,1,40,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019001100,0.41000000000000003,915,24000,105000,1,70,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Home purchase,Female,Principal residence,Site-built,17019010604,0.25,1693,249000,265000,1,50,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Female,Principal residence,Site-built,17019010500,0.55,816,32000,95000,1,70,NA
2018,IL,Missing,Application denied,Desktop Underwriter (DU),Cash-out refinancing,information not provided by applicant,Principal residence,Site-built,17019000902,0.45,4,90000,245000,1,50,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019010603,0.1,1709,102000,145000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019000800,0.42,4,37000,105000,1,70,NA
2018,IL,Cumberland,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Home purchase,Female,Principal residence,Site-built,17035972400,0.1,1580,134000,115000,1,50,NA
2018,IL,Missing,Loan originated,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019010604,0.55,1000,137000,205000,1,70,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17019005500,0.44,1399,48000,125000,1,50,NA
2018,IL,Cumberland,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Male,Principal residence,Site-built,17035972600,0.44,1396,47000,145000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Male,Principal residence,Site-built,17019001201,0.38,1793,54000,135000,1,40,NA
2018,IL,Missing,Application denied,Technology Open to Approved Lenders (TOTAL) Scorecard,Cash-out refinancing,Female,Principal residence,Site-built,17019001205,0.42,1399,50000,95000,1,60,NA
2018,IL,Missing,Loan originated,Desktop Underwriter (DU),Cash-out refinancing,Female,Principal residence,Site-built,17019010100,0.325,1361,50000,105000,1,70,NA
