SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
102873,0,Cash loans,F,Y,N,0,112500,946980,40122,946980,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
118543,0,Cash loans,F,N,Y,0,225000,781920,36364.5,675000,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,1,0,Cleaning staff,1
135482,0,Cash loans,M,Y,N,0,135000,383787,33070.5,328500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Security staff,1
100804,0,Cash loans,F,N,Y,2,157500,407727,32341.5,333000,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,1,0,Laborers,4
133883,0,Cash loans,F,N,N,0,126000,104256,11074.5,90000,Unaccompanied,State servant,Incomplete higher,Separated,House / apartment,1,0,Core staff,1
120356,0,Cash loans,F,N,N,0,382500,327024,23926.5,270000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,Sales staff,2
128802,0,Cash loans,M,Y,Y,0,270000,1620000,44550,1620000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,,2
130765,0,Cash loans,F,N,Y,1,135000,405000,32125.5,405000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
130748,0,Cash loans,F,Y,Y,0,315000,998010,80149.5,9.00E+05,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,Managers,2
128420,0,Cash loans,M,N,N,0,135000,1053000,33192,1053000,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,1
134164,0,Cash loans,F,N,Y,0,112500,270000,14778,270000,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,Core staff,2
105845,0,Cash loans,M,Y,Y,2,157500,1113840,47322,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,Co-op apartment,1,0,Drivers,4
125489,0,Cash loans,F,N,N,0,,1350000,130180.5,1350000,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,Core staff,2
131020,0,Cash loans,M,Y,Y,0,292500,790830,62613,675000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Sales staff,1
138009,0,Cash loans,F,N,Y,0,135000,433057.5,23490,324000,"Spouse, partner",Pensioner,Lower secondary,Married,House / apartment,1,0,,2
127973,0,Cash loans,F,N,N,0,211500,654948,62316,630000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
128031,0,Cash loans,F,Y,Y,0,225000,640080,24259.5,450000,Unaccompanied,State servant,Higher education,Married,House / apartment,1,0,,2
136307,0,Cash loans,F,Y,Y,0,58500,450000,12001.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
137781,0,Cash loans,F,Y,N,1,90000,288873,14805,238500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
135376,0,Cash loans,M,N,Y,0,247500,792000,23157,792000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
114102,0,Cash loans,F,Y,N,1,189000,192874.5,23017.5,166500,Unaccompanied,Working,Secondary / secondary special,Married,With parents,1,1,,3
132731,0,Cash loans,M,Y,Y,1,225000,348264,39519,315000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3
130629,0,Cash loans,M,N,Y,0,76500,808650,23305.5,675000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
130574,0,Cash loans,M,Y,N,1,112500,270000,20893.5,270000,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,1,0,Laborers,3
126291,0,Cash loans,F,Y,N,0,144000,1484437.5,45135,1215000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Medicine staff,1
106659,1,Cash loans,M,N,N,0,450000,1546020,45202.5,1350000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
137606,0,Cash loans,F,N,N,0,90000,180000,,180000,Unaccompanied,Working,Secondary / secondary special,Widow,Municipal apartment,1,0,Sales staff,1
123669,0,Cash loans,F,N,Y,0,135000,573628.5,25398,463500,Family,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
105383,1,Cash loans,F,N,Y,0,202500,454500,17739,454500,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,1,0,High skill tech staff,1
129719,0,Cash loans,M,N,Y,0,153000,545040,43191,450000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
129544,0,Cash loans,F,Y,N,0,112500,239476.5,19197,193500,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cooking staff,2
105135,0,Cash loans,F,N,Y,0,135000,378117,24295.5,342000,Family,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,Core staff,1
129722,0,Cash loans,M,Y,Y,1,157500,743031,39717,688500,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,1,0,Drivers,3
102517,0,Cash loans,F,N,N,0,112500,239850,27189,225000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Sales staff,2
131368,0,Cash loans,M,N,Y,1,270000,517500,40887,517500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,1,Managers,3
105870,0,Cash loans,F,N,Y,1,112500,55692,4909.5,45000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Sales staff,3
107797,0,Cash loans,F,N,Y,0,157500,1046142,30586.5,913500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
130476,0,Cash loans,M,Y,N,0,135000,237024,17374.5,180000,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,1,0,Drivers,2
111400,0,Cash loans,F,N,Y,0,157500,1483231.5,51687,1354500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
121624,0,Cash loans,M,Y,Y,0,202500,291915,23053.5,252000,Family,Working,Incomplete higher,Civil marriage,House / apartment,1,0,Drivers,2
123506,0,Cash loans,F,N,Y,1,157500,1647243,57388.5,1422000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,3
111651,0,Cash loans,F,N,N,0,135000,219042,24844.5,193500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
127520,0,Cash loans,M,N,Y,0,202500,582804,24822,463500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
124751,0,Cash loans,M,Y,Y,0,135000,107820,8343,90000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,2
116315,0,Cash loans,F,N,Y,0,117000,254700,14751,225000,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
136681,0,Cash loans,M,Y,Y,0,315000,679500,64647,679500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
128751,0,Cash loans,M,N,N,0,117000,360000,21753,360000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
103463,0,Cash loans,F,N,Y,0,,500490,53901,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,Sales staff,2
128762,0,Cash loans,F,Y,Y,0,112500,677664,22023,585000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
132175,0,Cash loans,F,N,N,0,76500,135000,10665,135000,Unaccompanied,Working,Secondary / secondary special,Widow,Rented apartment,1,0,Sales staff,1
129517,0,Cash loans,M,Y,N,0,135000,450000,35554.5,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
129361,0,Cash loans,F,Y,Y,0,315000,819432,24088.5,684000,Unaccompanied,Working,Incomplete higher,Married,House / apartment,1,0,Sales staff,2
109739,0,Cash loans,M,Y,N,1,112500,107820,4878,90000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,3
112759,0,Cash loans,M,N,N,0,157500,679500,28786.5,679500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Laborers,2
104523,0,Cash loans,F,N,Y,0,180000,1105083,36652.5,904500,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,1,0,,1
103853,0,Cash loans,F,N,N,0,90000,225000,11488.5,225000,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,,1
124813,0,Cash loans,F,N,N,0,180000,506925,50269.5,481500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
127245,0,Cash loans,M,Y,Y,0,112500,264888,31563,234000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
135542,0,Cash loans,M,Y,Y,1,252000,1789812,49347,1494000,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,High skill tech staff,3
125174,0,Cash loans,M,Y,Y,0,135000,450000,31450.5,450000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
109087,0,Cash loans,F,N,Y,1,265500,720000,39190.5,720000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Waiters/barmen staff,3
132632,0,Cash loans,F,Y,N,1,202500,592560,35937,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Managers,3
116090,0,Cash loans,F,N,Y,0,135000,797557.5,26487,688500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
117774,0,Cash loans,F,N,Y,0,315000,848745,46174.5,675000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,1,0,,1
110128,0,Cash loans,F,Y,Y,0,135000,691258.5,51813,652500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
131808,0,Cash loans,F,N,N,0,81000,547344,23319,472500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
124125,0,Cash loans,M,Y,N,0,225000,495000,38304,495000,Unaccompanied,Working,Higher education,Married,House / apartment,1,0,,2
137953,0,Cash loans,M,Y,Y,0,112500,412942.5,27724.5,373500,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,1
126020,0,Cash loans,M,N,N,2,180000,542133,42961.5,468000,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,1,0,Laborers,4
119538,0,Cash loans,F,N,Y,0,135000,1350000,47056.5,1350000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
129471,0,Cash loans,M,N,N,0,225000,1006920,51543,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
117165,0,Cash loans,F,N,Y,3,,234369,15106.5,193500,Family,State servant,Incomplete higher,Married,House / apartment,1,0,Core staff,5
124509,0,Cash loans,M,N,Y,0,225000,781920,61906.5,675000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
116545,0,Cash loans,F,N,N,1,180000,1024740,52321.5,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Private service staff,3
105200,1,Cash loans,M,Y,N,2,157500,732834,46962,625500,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,1,0,Cleaning staff,4
132483,0,Cash loans,F,Y,Y,0,171000,755190,36459,675000,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
126701,0,Cash loans,F,N,Y,2,180000,675000,34465.5,675000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,1,0,High skill tech staff,4
115999,0,Cash loans,M,Y,N,0,225000,450000,29227.5,450000,,Commercial associate,Higher education,Married,House / apartment,1,0,,2
104263,0,Cash loans,F,N,Y,0,108000,528633,23413.5,472500,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
130676,0,Cash loans,F,N,Y,0,85500,545040,20677.5,450000,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,2
125875,0,Cash loans,F,N,Y,0,157500,225000,24232.5,225000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Accountants,1
128397,0,Cash loans,F,Y,Y,0,202500,1350000,39604.5,1350000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,,2
116507,0,Cash loans,F,Y,Y,2,112500,417024,21420,360000,Unaccompanied,Working,Higher education,Married,House / apartment,1,1,Accountants,4
118022,0,Cash loans,F,N,N,0,117000,472500,22729.5,472500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Cleaning staff,2
134725,1,Cash loans,F,N,Y,0,,348264,19575,315000,Children,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
105113,1,Cash loans,F,N,Y,0,252000,906660,36531,675000,Family,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,,2
135169,0,Cash loans,F,Y,Y,0,90000,225000,23184,225000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
101263,0,Cash loans,F,N,N,2,67500,379237.5,17703,288000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Managers,4
119379,0,Cash loans,F,N,Y,1,247500,675000,34465.5,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,,3
108393,0,Cash loans,F,Y,Y,1,225000,1755000,61132.5,1755000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,1,0,High skill tech staff,3
126770,0,Cash loans,F,N,Y,1,126000,338832,20475,292500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,3
116920,0,Cash loans,F,Y,N,2,157500,1223010,48501,1125000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,1,0,,4
131964,0,Cash loans,F,N,Y,0,180000,576072,28147.5,405000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Laborers,1
123827,0,Cash loans,F,Y,Y,2,99000,1009566,33493.5,904500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Accountants,4
137540,0,Cash loans,F,N,Y,0,315000,757597.5,44424,702000,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,1,1,Accountants,1
117591,0,Cash loans,F,N,Y,0,382500,2085120,72607.5,1800000,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,1,0,Private service staff,1
132074,0,Cash loans,M,N,Y,0,135000,509922,29403,472500,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
115435,0,Cash loans,M,Y,Y,0,315000,1121575.5,37197,918000,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,1,0,Sales staff,1
126745,0,Cash loans,F,Y,N,0,,522000,23121,522000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,,2
100048,0,Cash loans,F,N,Y,0,202500,604152,29196,540000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
129378,0,Cash loans,F,N,Y,0,94500,725328,26181,540000,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,,2
136102,0,Cash loans,M,N,Y,0,126000,180000,14058,180000,Unaccompanied,Working,Secondary / secondary special,Married,Office apartment,1,0,Laborers,2
108697,0,Cash loans,M,Y,Y,1,360000,540000,31000.5,540000,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,Drivers,2
133715,0,Cash loans,F,N,Y,0,112500,398160,31585.5,315000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,1,1,High skill tech staff,2
116217,0,Cash loans,F,N,N,0,90000,675000,24376.5,675000,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,Sales staff,2
118035,0,Cash loans,M,Y,Y,0,103500,450000,21780,450000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
111044,0,Cash loans,F,Y,Y,1,99000,376078.5,18288,310500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
108577,0,Cash loans,F,N,Y,2,139500,731353.5,57910.5,661500,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,Laborers,4
101531,1,Cash loans,F,N,Y,2,90000,675000,32602.5,675000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,4
111919,0,Cash loans,M,N,N,0,135000,270000,14647.5,270000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
109200,0,Cash loans,F,N,Y,3,121500,381528,21433.5,315000,Family,Working,Higher education,Civil marriage,House / apartment,1,0,,5
130190,0,Cash loans,F,N,N,0,99000,553806,23593.5,495000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Managers,2
125441,0,Cash loans,F,N,N,0,67500,270000,8622,270000,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,,1
102312,0,Cash loans,F,N,Y,0,81000,283500,13765.5,283500,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
114491,0,Cash loans,F,Y,Y,0,72000,1205896.5,35388,1053000,Family,Working,Secondary / secondary special,Married,House / apartment,1,0,Core staff,2
116188,0,Cash loans,M,Y,Y,0,184500,799299,38583,702000,"Spouse, partner",Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,High skill tech staff,2
118381,0,Cash loans,M,N,Y,0,135000,704844,36117,630000,Family,Working,Secondary / secondary special,Married,House / apartment,1,0,Laborers,2
106251,0,Cash loans,M,Y,Y,0,243000,269550,13095,225000,Unaccompanied,Pensioner,Higher education,Married,House / apartment,1,0,,2
106291,0,Cash loans,F,N,N,0,36000,225000,10822.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Medicine staff,2
124700,0,Cash loans,F,N,Y,0,157500,1314117,38551.5,1147500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Cooking staff,2
111479,1,Cash loans,M,N,Y,1,247500,443088,30105,382500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,3
114728,0,Cash loans,M,N,Y,1,135000,167895,17757,157500,Unaccompanied,Working,Higher education,Married,House / apartment,1,1,Laborers,3
124410,0,Cash loans,F,N,N,0,112500,284400,13963.5,225000,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,,2
126312,0,Cash loans,M,Y,N,0,180000,561393,20295,463500,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,1,0,Drivers,1
106108,0,Cash loans,F,N,Y,0,52200,296280,14382,225000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
104389,0,Cash loans,M,N,Y,2,202500,1006920,51543,9.00E+05,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Drivers,4
102581,1,Cash loans,F,N,Y,0,112500,198085.5,18297,171000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,,1
131060,0,Cash loans,F,N,Y,0,180000,315000,20259,315000,Family,Commercial associate,Higher education,Married,House / apartment,1,0,Sales staff,2
136581,0,Cash loans,F,N,Y,0,67500,135000,6075,135000,Unaccompanied,Working,Higher education,Single / not married,House / apartment,1,0,Sales staff,1
126457,0,Cash loans,F,N,Y,1,103500,314055,19107,238500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,0,Sales staff,3
123650,0,Cash loans,F,Y,N,0,247500,765261,30348,684000,Unaccompanied,Commercial associate,Higher education,Civil marriage,Rented apartment,1,0,Managers,2
